rep,mode,L_us,C,W_us,tput_reqps,p50_us,p99_us,p999_us
1,block,20.0,2,2.0,77102,23.8,24.1,25.0
1,block,20.0,4,2.0,161242,23.8,24.2,25.1
1,block,20.0,8,2.0,326108,23.5,24.6,26.0
1,block,20.0,16,2.0,326125,46.9,48.2,49.9
1,block,20.0,32,2.0,323813,94.8,96.8,99.4
1,block,20.0,64,2.0,324029,26.5,191.7,195.1
1,block,20.0,128,2.0,325002,26.5,386.6,393.3
1,block,20.0,256,2.0,323622,758.1,775.6,1052.6
2,block,20.0,2,2.0,80615,23.8,24.3,25.5
2,block,20.0,4,2.0,153802,23.8,24.0,24.8
2,block,20.0,8,2.0,323663,23.5,24.6,25.9
2,block,20.0,16,2.0,326832,26.6,48.0,49.5
2,block,20.0,32,2.0,326726,94.4,96.6,100.1
2,block,20.0,64,2.0,323994,189.4,193.5,197.7
2,block,20.0,128,2.0,307741,380.3,397.0,496.6
2,block,20.0,256,2.0,323697,26.5,768.5,824.8
3,block,20.0,2,2.0,80719,23.8,24.1,25.1
3,block,20.0,4,2.0,160404,23.8,24.3,25.2
3,block,20.0,8,2.0,322988,23.5,25.9,29.3
3,block,20.0,16,2.0,311286,47.0,48.8,52.5
3,block,20.0,32,2.0,325964,26.5,95.6,98.0
3,block,20.0,64,2.0,324500,26.7,192.4,196.5
3,block,20.0,128,2.0,323389,379.1,386.4,426.6
3,block,20.0,256,2.0,323529,759.9,777.4,1094.5
4,block,20.0,2,2.0,80085,23.8,24.2,24.8
4,block,20.0,4,2.0,160990,23.8,24.3,25.2
4,block,20.0,8,2.0,324984,23.5,25.2,27.0
4,block,20.0,16,2.0,325896,46.9,48.0,49.6
4,block,20.0,32,2.0,309920,94.5,97.0,108.3
4,block,20.0,64,2.0,326734,26.5,191.1,193.6
4,block,20.0,128,2.0,325190,26.6,386.0,421.5
4,block,20.0,256,2.0,323849,758.6,770.2,898.8
5,block,20.0,2,2.0,80653,23.8,24.1,25.0
5,block,20.0,4,2.0,153525,23.8,24.1,25.1
5,block,20.0,8,2.0,325627,23.5,24.6,26.1
5,block,20.0,16,2.0,325928,26.6,48.0,49.4
5,block,20.0,32,2.0,325461,94.4,98.8,108.5
5,block,20.0,64,2.0,323729,189.5,193.5,219.0
5,block,20.0,128,2.0,308832,380.0,387.5,471.6
5,block,20.0,256,2.0,325153,26.5,778.6,1082.3
6,block,20.0,2,2.0,80611,23.8,24.0,25.1
6,block,20.0,4,2.0,161389,23.8,24.4,25.3
6,block,20.0,8,2.0,324673,23.5,24.6,25.9
6,block,20.0,16,2.0,323136,26.5,47.4,49.0
6,block,20.0,32,2.0,325139,26.5,96.2,98.0
6,block,20.0,64,2.0,325240,188.9,192.4,200.6
6,block,20.0,128,2.0,323683,380.0,387.1,412.5
6,block,20.0,256,2.0,306483,760.0,879.1,31650.7
